Frequency (MHz),Amplitude
2.188919164396003758e+00,2.121070039758379822e-03
2.198001816530426922e+00,2.091393944887814244e-03
2.207084468664850085e+00,2.062523762105819992e-03
2.216167120799273249e+00,2.034428044569245881e-03
2.225249772933696413e+00,2.007076956070481897e-03
2.234332425068120020e+00,1.980442169318790552e-03
2.243415077202543184e+00,1.954496771833509443e-03
2.252497729336966348e+00,1.929215178782276710e-03
2.261580381471389511e+00,1.904573052198630951e-03
2.270663033605813119e+00,1.880547226009147586e-03
2.279745685740236283e+00,1.857115636428236394e-03
2.288828337874659447e+00,1.834257257233240512e-03
2.297910990009082610e+00,1.811952039547666494e-03
2.306993642143506218e+00,1.790180855796278617e-03
2.316076294277929382e+00,1.768925447431838943e-03
2.325158946412352545e+00,1.748168376214640201e-03
2.334241598546775709e+00,1.727892978712377604e-03
2.343324250681198873e+00,1.708083323807436374e-03
2.352406902815622480e+00,1.688724172958885232e-03
2.361489554950045200e+00,1.669800943031526713e-03
2.370572207084468364e+00,1.651299671488936239e-03
2.379654859218891527e+00,1.633206983782151773e-03
2.388737511353315135e+00,1.615510062777243813e-03
2.397820163487738299e+00,1.598196620061832036e-03
2.406902815622161462e+00,1.581254869008370074e-03
2.415985467756584626e+00,1.564673499470748763e-03
2.425068119891008234e+00,1.548441654002949896e-03
2.434150772025431397e+00,1.532548905461138689e-03
2.443233424159854561e+00,1.516985235957292325e-03
2.452316076294277725e+00,1.501741017007627091e-03
