Frequency (MHz),Amplitude
3.970000000000000195e+00,-4.400628305851893574e-01
3.979999999999999982e+00,-9.978995343254549732e-01
3.990000000000000213e+00,-5.524887153120869865e-01
4.000000000000000000e+00,4.483346949766157663e-01
4.009999999999999787e+00,9.984506486316430118e-01
4.019999999999999574e+00,5.449040756533608532e-01
4.030000000000000249e+00,-4.563537682898450853e-01
4.040000000000000036e+00,-9.989068260551301481e-01
4.049999999999999822e+00,-5.374797736473205800e-01
4.059999999999999609e+00,4.641195143305253401e-01
4.070000000000000284e+00,9.992743764670941609e-01
4.080000000000000071e+00,5.302225359562096063e-01
4.089999999999999858e+00,-4.716315488765596697e-01
4.099999999999999645e+00,-9.995595543084361267e-01
4.110000000000000320e+00,-5.231388840162402021e-01
4.120000000000000107e+00,4.788896297430775273e-01
4.129999999999999893e+00,9.997685454037854580e-01
4.139999999999999680e+00,5.162351309805809363e-01
4.150000000000000355e+00,-4.858936467273673454e-01
4.160000000000000142e+00,-9.999074541094942203e-01
4.169999999999999929e+00,-5.095173790967821859e-01
4.179999999999999716e+00,4.926436114719494053e-01
4.190000000000000391e+00,9.999822908129363253e-01
4.200000000000000178e+00,5.029915174958604629e-01
4.209999999999999964e+00,-4.991396472843140919e-01
4.219999999999999751e+00,-9.999989597987291035e-01
4.230000000000000426e+00,-4.966632203730144135e-01
4.240000000000000213e+00,5.053819789517534078e-01
4.250000000000000000e+00,9.999632474959173623e-01
4.259999999999999787e+00,4.905379455319031079e-01
4.269999999999999574e+00,-5.113709225876410525e-01
4.280000000000000249e+00,-9.998808111185663039e-01
4.290000000000000036e+00,-4.846209332717283935e-01
4.299999999999999822e+00,5.171068755453850363e-01
4.309999999999999609e+00,9.997571677106839028e-01
4.320000000000000284e+00,4.789172055898057723e-01
4.330000000000000071e+00,-5.225903064367645179e-01
4.339999999999999858e+00,-9.995976836049846881e-01
4.349999999999999645e+00,-4.734315656740039624e-01
4.360000000000000320e+00,5.278217452866424964e-01
4.370000000000000107e+00,9.994075643035855716e-01
4.379999999999999893e+00,4.681685976602577015e-01
4.389999999999999680e+00,-5.328017738600484554e-01
4.400000000000000355e+00,-9.991918447875136611e-01
4.410000000000000142e+00,-4.631326666278380300e-01
4.419999999999999929e+00,5.375310161913107176e-01
4.429999999999999716e+00,9.989553802606161437e-01
4.440000000000000391e+00,4.583279188064610654e-01
4.450000000000000178e+00,-5.420101293480916738e-01
4.459999999999999964e+00,-9.987028373324415842e-01
4.469999999999999751e+00,-4.537582819703469550e-01
4.480000000000000426e+00,5.462397944589584275e-01
4.490000000000000213e+00,9.984386856435628621e-01
4.500000000000000000e+00,4.494274659916161485e-01
4.509999999999999787e+00,-5.502207080335079770e-01
4.519999999999999574e+00,-9.981671899359463307e-01
4.530000000000000249e+00,-4.453389635300860627e-01
4.540000000000000036e+00,5.539535736012862754e-01
4.549999999999999822e+00,9.978924025701090272e-01
4.559999999999999609e+00,4.414960508325043165e-01
4.570000000000000284e+00,-5.574390936965498700e-01
4.580000000000000071e+00,-9.976181564900125087e-01
4.589999999999999858e+00,-4.379017886191013953e-01
4.599999999999999645e+00,5.606779622121719209e-01
4.610000000000000320e+00,9.973480586362377664e-01
4.620000000000000107e+00,4.345590230330216297e-01
4.629999999999999893e+00,-5.636708571453324934e-01
4.639999999999999680e+00,-9.970854838069926895e-01
4.650000000000000355e+00,-4.314703866309497204e-01
4.660000000000000142e+00,5.664184337577276018e-01
